C0,C1,C2,Kedekatan,Hasil
0.41,0.03,0.36,0.03,1
0.26,0.18,0.51,0.18,1
0.87,0.43,0.10,0.10,2
0.11,0.55,0.88,0.11,0
0.01,0.43,0.76,0.01,0
0.04,0.48,0.81,0.04,0
0.50,0.06,0.27,0.06,1
0.06,0.38,0.71,0.06,0
0.29,0.15,0.48,0.15,1
0.05,0.39,0.72,0.05,0
0.05,0.49,0.82,0.05,0
0.10,0.54,0.87,0.10,0
0.50,0.06,0.27,0.06,1
0.07,0.51,0.84,0.07,0
0.00,0.44,0.77,0.00,0
0.19,0.25,0.58,0.19,0
0.68,0.24,0.09,0.09,2
0.11,0.55,0.88,0.11,0
0.70,0.26,0.07,0.07,2
0.11,0.55,0.88,0.11,0
0.85,0.41,0.08,0.08,2
0.30,0.14,0.47,0.14,1
0.85,0.41,0.08,0.08,2
0.45,0.01,0.32,0.01,1
0.59,0.15,0.18,0.15,1
0.18,0.62,0.95,0.18,0
0.09,0.35,0.68,0.09,0
0.09,0.53,0.86,0.09,0
0.11,0.33,0.66,0.11,0
0.09,0.53,0.86,0.09,0
0.13,0.31,0.64,0.13,0
0.24,0.20,0.53,0.20,1
0.15,0.59,0.92,0.15,0
0.54,0.10,0.23,0.10,1
0.40,0.04,0.37,0.04,1
0.07,0.37,0.70,0.07,0
0.36,0.08,0.41,0.08,1
0.12,0.56,0.89,0.12,0
0.41,0.03,0.36,0.03,1
0.80,0.36,0.03,0.03,2
0.13,0.31,0.64,0.13,0
0.51,0.07,0.26,0.07,1
0.08,0.52,0.85,0.08,0
0.57,0.13,0.20,0.13,1
0.10,0.34,0.67,0.10,0
0.02,0.46,0.79,0.02,0
0.43,0.01,0.34,0.01,1
0.20,0.64,0.97,0.20,0
0.69,0.25,0.08,0.08,2
0.21,0.65,0.98,0.21,0
0.53,0.09,0.24,0.09,1
0.08,0.36,0.69,0.08,0
0.59,0.15,0.18,0.15,1
0.84,0.40,0.07,0.07,2
0.05,0.39,0.72,0.05,0
0.41,0.03,0.36,0.03,1
0.43,0.01,0.34,0.01,1
0.41,0.03,0.36,0.03,1
0.03,0.41,0.74,0.03,0
0.83,0.39,0.06,0.06,2
0.27,0.17,0.50,0.17,1
0.71,0.27,0.06,0.06,2
0.55,0.11,0.22,0.11,1
0.11,0.33,0.66,0.11,0
0.68,0.24,0.09,0.09,2
0.22,0.22,0.55,0.22,1
0.75,0.31,0.02,0.02,2
0.42,0.02,0.35,0.02,1
0.75,0.31,0.02,0.02,2
0.54,0.10,0.23,0.10,1
0.58,0.14,0.19,0.14,1
0.33,0.11,0.44,0.11,1
0.83,0.39,0.06,0.06,2
0.49,0.05,0.28,0.05,1
0.25,0.19,0.52,0.19,1
0.45,0.01,0.32,0.01,1
0.20,0.64,0.97,0.20,0
0.11,0.33,0.66,0.11,0
0.51,0.07,0.26,0.07,1
0.10,0.34,0.67,0.10,0
0.46,0.02,0.31,0.02,1
0.25,0.19,0.52,0.19,1
0.07,0.51,0.84,0.07,0
0.11,0.33,0.66,0.11,0
0.41,0.03,0.36,0.03,1
0.43,0.01,0.34,0.01,1
0.41,0.03,0.36,0.03,1
0.50,0.06,0.27,0.06,1
0.50,0.06,0.27,0.06,1
0.25,0.19,0.52,0.19,1
0.77,0.33,0.00,0.00,2
0.18,0.26,0.59,0.18,0
0.26,0.18,0.51,0.18,1
0.76,0.32,0.01,0.01,2
0.67,0.23,0.10,0.10,2
0.55,0.11,0.22,0.11,1
0.11,0.55,0.88,0.11,0
0.79,0.35,0.02,0.02,2
0.57,0.13,0.20,0.13,1
0.88,0.44,0.11,0.11,2
